direction, next, type, time, seconds spent
start, 1-1, b, 8/8/2016 12:44:06 PM, 2.91
left, 1-4, p, 8/8/2016 12:44:09 PM, 2.04
right, 1-2, v, 8/8/2016 12:44:11 PM, 2.26
right, 2-2, p, 8/8/2016 12:44:13 PM, 1.94
left, 3-1, p, 8/8/2016 12:44:15 PM, 2.74
right, 4-4, p, 8/8/2016 12:44:18 PM, 1.62
right, 5-1, p, 8/8/2016 12:44:20 PM, 1.82
up, 6-3, p, 8/8/2016 12:44:21 PM, 1.92
right, 7-2, p, 8/8/2016 12:44:23 PM, 1.80
up, 8-3, p, 8/8/2016 12:44:25 PM, 0.87
